[2026-01-20T02:00:14.094+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-01-20T02:00:14.130+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: silver_layer_sensor_driven.wait_for_bronze_data scheduled__2026-01-19T02:00:00+00:00 [queued]>
[2026-01-20T02:00:14.139+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: silver_layer_sensor_driven.wait_for_bronze_data scheduled__2026-01-19T02:00:00+00:00 [queued]>
[2026-01-20T02:00:14.139+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 2
[2026-01-20T02:00:14.163+0000] {taskinstance.py:2879} INFO - Executing <Task(S3KeySensor): wait_for_bronze_data> on 2026-01-19 02:00:00+00:00
[2026-01-20T02:00:14.172+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'silver_layer_sensor_driven', 'wait_for_bronze_data', 'scheduled__2026-01-19T02:00:00+00:00', '--job-id', '86', '--raw', '--subdir', 'DAGS_FOLDER/bronze_to_silver.py', '--cfg-path', '/tmp/tmps58g7gw9']
[2026-01-20T02:00:14.172+0000] {logging_mixin.py:190} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=3737) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-20T02:00:14.173+0000] {standard_task_runner.py:105} INFO - Job 86: Subtask wait_for_bronze_data
[2026-01-20T02:00:14.174+0000] {standard_task_runner.py:72} INFO - Started process 3772 to run task
[2026-01-20T02:00:17.049+0000] {task_command.py:467} INFO - Running <TaskInstance: silver_layer_sensor_driven.wait_for_bronze_data scheduled__2026-01-19T02:00:00+00:00 [running]> on host dca9677b2c70
[2026-01-20T02:14:22.088+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='silver_layer_sensor_driven' AIRFLOW_CTX_TASK_ID='wait_for_bronze_data' AIRFLOW_CTX_EXECUTION_DATE='2026-01-19T02:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-19T02:00:00+00:00'
[2026-01-20T02:14:22.090+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-01-20T02:14:22.116+0000] {baseoperator.py:405} WARNING - S3KeySensor.execute cannot be called outside TaskInstance!
[2026-01-20T02:14:22.117+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
[2026-01-20T02:14:22.173+0000] {base.py:84} INFO - Retrieving connection 'rustfs_conn'
[2026-01-20T02:14:22.174+0000] {connection_wrapper.py:388} INFO - AWS Connection (conn_id='rustfs_conn', conn_type='aws') credentials retrieved from login and password.
[2026-01-20T02:14:23.986+0000] {job.py:229} INFO - Heartbeat recovered after 850.18 seconds
[2026-01-20T02:15:23.119+0000] {s3.py:118} INFO - Poking for key : s3://bronze/hackernews/jobs_2026-01-17*.json
